 type bid, timestamp 1576858197.772581, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858197.7736135, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858197.7736135, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858198.0565028, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858198.0565028, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858198.3165712, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858198.3165712, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858198.3281083, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858198.3281083, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858198.4084558, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858198.4084558, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858198.844632, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858198.844632, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858198.914393, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858198.914393, ticker MSFT, size 100, price 157.01,
 type last, timestamp 1576858199.0209708, ticker AAPL, size 100, price 281.81,
 type ask, timestamp 1576858199.0209708, ticker AAPL, size 100, price 281.83,
 type bid, timestamp 1576858199.0209708, ticker AAPL, size 100, price 280.32,
 type ask, timestamp 1576858200.9187868, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858200.9187868, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858202.0697165, ticker MSFT, size 100, price 157.03,
 type bid, timestamp 1576858202.0697165, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858202.0711129, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858202.0711129, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858202.2788029, ticker MSFT, size 100, price 157.03,
 type bid, timestamp 1576858202.2788029, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858205.0154002, ticker MSFT, size 100, price 157.03,
 type bid, timestamp 1576858205.0154002, ticker MSFT, size 333, price 157.01,
 type ask, timestamp 1576858205.0154898, ticker AAPL, size 300, price 282.48,
